win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
0.0,0.248994971324,0.578125,31,1,1,0,0
0.0,0.119350570467,0.875,34,4,108,0,0
0.0,0.135737776483,0.84375,13,1,7,0,1
0.0,0.147817182305,0.84375,23,1,2,0,0
0.0,0.141543683829,0.84375,20,2,29,0,0
0.0,0.12418725443,0.84375,25,1,13,0,0
0.0,0.0925435117426,0.875,47,8,193,1,0
0.0,0.108066631041,0.84375,41,1,21,0,0
0.0,0.127610198899,0.796875,39,5,124,0,0
0.0,0.115313517067,0.859375,27,2,15,0,0
0.0,0.110465577183,0.875,26,2,113,1,0
0.0,0.106902390148,0.90625,35,3,83,1,0
0.0,0.138006757855,0.828125,22,3,146,1,1
0.0,0.106486097019,0.90625,15,1,37,0,0
0.0,0.101271832382,0.859375,43,3,31,0,1
0.0,0.12509828041,0.828125,16,5,97,0,0
0.0,0.0865153332429,0.921875,37,2,83,1,0
0.0,0.108365385864,0.890625,36,2,21,2,1
0.0,0.106763249549,0.875,25,2,36,0,0
0.0,0.0610074233966,0.921875,50,4,280,6,1
0.0,0.107207986394,0.875,25,2,34,0,0
0.0,0.0709879747548,0.890625,43,3,204,3,1
0.0,0.136088365216,0.828125,18,1,13,0,0
0.0,0.0735021322599,0.84375,43,6,358,5,1
0.0,0.144820693424,0.796875,20,4,167,1,1
0.0,0.112617533334,0.875,14,3,93,0,0
0.0,0.123540735388,0.84375,11,3,289,0,1
0.0,0.0889115884756,0.890625,37,2,76,1,0
0.0,0.0987283320321,0.859375,41,2,43,0,0
0.0,0.0830250224351,0.90625,41,3,86,2,0
0.0,0.0637975481163,0.9375,28,9,212,2,0
0.0,0.0441751308026,0.9375,47,8,187,3,1
0.0,0.0585093096795,0.921875,47,11,392,4,0
0.0,0.105996040259,0.84375,34,3,103,2,0
0.0,0.0392847597986,0.9375,53,16,609,7,0
0.0,0.0937865643853,0.84375,36,6,212,2,0
2.7027027027,0.0561312067681,0.9375,54,12,645,0,0
2.63157894737,0.102649372494,0.859375,15,1,56,0,0
2.5641025641,0.100276449129,0.875,14,2,35,0,1
2.5,0.049060860033,0.921875,47,13,449,5,0
4.87804878049,0.0752777431397,0.90625,54,5,148,0,0
7.14285714286,0.0283376976516,0.96875,54,12,341,0,0
9.3023255814,0.0120304466362,0.984375,54,12,277,0,0
9.09090909091,0.0715459336218,0.890625,44,5,105,1,0
8.88888888889,0.108394045253,0.859375,19,3,73,0,0
8.69565217391,0.108595302381,0.859375,29,14,278,2,0
8.51063829787,0.105983085497,0.859375,25,1,26,0,0
8.33333333333,0.0509146227362,0.921875,41,12,351,5,1
8.16326530612,0.072682076477,0.875,39,7,331,3,0
8.0,0.098216712534,0.875,27,4,93,1,0
7.8431372549,0.0452688537416,0.9375,51,7,269,5,1
7.69230769231,0.0318670534654,0.953125,54,13,866,6,1
7.54716981132,0.0818747795425,0.90625,26,6,388,2,0
7.40740740741,0.0688019415459,0.921875,41,7,278,3,1
7.27272727273,0.059812126047,0.890625,35,5,216,5,0
7.14285714286,0.0546372569011,0.921875,50,4,193,4,0
8.77192982456,0.0235539741211,0.953125,54,15,397,0,0
8.62068965517,0.0270001879817,0.96875,52,12,363,5,1
8.47457627119,0.0474604922088,0.953125,46,9,214,4,0
8.33333333333,0.0540338348942,0.953125,46,8,174,5,0
8.19672131148,0.0991269481199,0.859375,23,6,171,0,0
8.06451612903,0.0842162149542,0.90625,34,8,194,4,1
7.93650793651,0.103918229921,0.875,21,3,136,0,0
7.8125,0.0226430538401,0.96875,52,7,223,6,1
7.69230769231,0.114888330347,0.875,32,3,137,1,0
7.57575757576,0.0482294688917,0.90625,44,6,485,5,1
7.46268656716,0.0598453163054,0.90625,50,5,133,4,1
7.35294117647,0.0723329050981,0.90625,41,8,179,3,0
7.24637681159,0.0780442376094,0.921875,36,21,732,2,1
7.14285714286,0.0725752778994,0.890625,42,13,277,2,0
7.04225352113,0.0752777954772,0.890625,36,3,156,2,0
6.94444444444,0.0719924605026,0.9375,28,18,508,4,0
6.84931506849,0.118659301231,0.859375,19,8,170,0,0
6.75675675676,0.0634573270054,0.921875,44,9,236,3,1
6.66666666667,0.11610756293,0.84375,19,4,61,1,0
6.57894736842,0.0886399658661,0.890625,35,13,212,2,0
6.49350649351,0.0849175285981,0.859375,37,3,140,2,0
6.41025641026,0.0423409034037,0.9375,39,5,205,7,1
6.32911392405,0.013726584251,0.984375,54,8,751,9,1
