win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
42.3157017909,0.0652532385008,0.921875,37,6,50,3,1
42.2980849292,0.0598770244385,0.90625,50,4,137,4,1
42.3220973783,0.00615173487424,1.0,54,9,341,0,0
42.3460898502,0.00171871015581,1.0,54,12,253,0,0
42.3284823285,0.0663471002648,0.9375,30,13,198,3,0
42.3108894431,0.0336129853297,0.96875,54,9,287,8,1
42.2933111757,0.038371420663,0.953125,43,6,114,5,0
42.2757475083,0.0325500859028,0.953125,52,12,552,8,1
42.2581984226,0.0647400515904,0.9375,38,12,192,5,1
42.2821576763,0.00439519066519,1.0,54,19,248,0,0
42.3060970552,0.00485238074966,1.0,54,23,642,0,0
42.3300165837,0.00207394658187,1.0,54,18,485,0,0
42.3124740986,0.046230147307,0.9375,47,11,297,6,1
42.3363711682,0.0197401008125,0.984375,54,13,404,0,0
42.3188405797,0.0708381625527,0.9375,22,3,32,2,0
42.3427152318,0.0106055364733,0.984375,54,12,281,0,0
42.3665701283,0.0075667748361,0.984375,54,11,145,0,0
42.3490488007,0.0999491965463,0.875,16,5,164,1,0
42.3728813559,0.00415329480132,1.0,54,13,244,0,0
42.3966942149,0.00160076305394,1.0,54,15,700,0,0
42.4204874019,0.00215401399777,1.0,54,12,571,0,0
42.4029727498,0.0691685722462,0.859375,45,21,362,5,0
42.4267437061,0.00769854551014,0.984375,54,17,302,0,0
42.4092409241,0.0652989216342,0.921875,47,12,122,3,0
42.3917525773,0.0168047536808,0.96875,53,9,404,8,1
42.4154987634,0.0126566881661,0.984375,54,16,317,0,0
42.3980222497,0.0466219249164,0.9375,47,16,130,6,0
42.3805601318,0.027645504651,0.953125,51,16,284,7,1
42.3631123919,0.0221028478575,0.96875,53,12,260,9,0
42.3868312757,0.0115431397679,0.984375,54,18,609,0,0
42.3693953106,0.0173824264742,0.984375,53,7,313,9,0
42.3519736842,0.0354811289928,0.96875,45,6,147,5,0
42.3756678997,0.0319402376777,0.96875,54,7,160,0,0
42.3993426459,0.00297470008303,1.0,54,14,321,0,0
42.4229979466,0.0316011679526,0.96875,54,9,288,0,0
42.4466338259,0.00443075682873,1.0,54,16,271,0,0
42.4292162495,0.0768298770365,0.90625,38,5,52,2,0
42.4118129614,0.0503985064151,0.9375,50,20,375,3,1
42.4354243542,0.0255895527753,0.96875,54,7,111,0,0
42.4590163934,0.00337416323173,1.0,54,7,102,0,0
42.4825891028,0.00139991317945,1.0,54,20,354,0,0
42.5061425061,0.00209573338497,1.0,54,12,455,0,0
42.5296766271,0.00234993469209,1.0,54,10,520,0,0
42.5531914894,0.0148736516773,0.984375,54,10,192,0,0
42.5357873211,0.0187251083821,0.984375,44,15,477,7,0
42.5183973835,0.0103534145172,0.984375,52,11,288,8,0
42.5010216592,0.0356538451779,0.984375,38,11,215,7,0
42.4836601307,0.0405063284697,0.953125,49,11,485,8,1
42.4663127807,0.0315193674559,0.96875,49,6,70,4,0
42.4897959184,0.00939993254191,0.984375,54,24,332,0,0
42.5132598939,0.000441355899571,1.0,54,16,514,0,0
42.4959216966,0.0792616122996,0.90625,32,15,208,5,1
42.4785976355,0.023670364894,0.96875,52,14,204,6,1
42.5020374898,0.0034370478556,1.0,54,12,259,0,0
42.4847250509,0.0343617178812,0.96875,48,6,284,7,1
42.4674267101,0.0489508507814,0.9375,46,10,279,6,1
42.4501424501,0.0669936763766,0.921875,40,11,353,4,1
42.4735557364,0.00205087083991,1.0,54,23,572,0,0
42.4969499797,0.00147737572364,1.0,54,9,403,0,0
42.5203252033,0.0146823695695,0.984375,54,14,828,0,0
42.5030475416,0.0229177072601,0.96875,49,10,270,7,0
42.5264012998,0.000575319083968,1.0,54,19,250,0,0
42.5497360942,0.0261406843492,0.96875,54,5,100,0,0
42.5324675325,0.0036055100403,1.0,50,4,8434,9,0
42.5152129817,0.0414699817851,0.953125,50,20,289,7,0
42.497972425,0.0563965452465,0.90625,40,14,158,4,0
42.4807458452,0.100252178474,0.890625,22,8,65,3,0
42.4635332253,0.0758915065657,0.90625,41,7,116,4,0
42.486836776,0.0047789203538,1.0,54,16,265,0,0
42.5101214575,0.00690728086855,0.984375,54,13,483,0,0
42.492917847,0.00360407331452,1.0,54,10,671,9,1
42.4757281553,0.0702003611326,0.921875,30,10,142,4,0
42.4989890821,0.0135700398935,0.984375,54,9,468,0,0
42.5222312045,0.00553354547736,0.984375,54,15,1199,0,0
42.5050505051,0.09483831154,0.875,31,8,78,1,1
42.4878836834,0.0318443187448,0.96875,41,14,162,6,0
42.4707307226,0.0692165589066,0.90625,41,7,95,3,0
42.4535916061,0.0306230125332,0.953125,51,9,343,8,1
42.4768051634,0.00448183237148,0.984375,54,20,432,0,0
42.5,0.00287272140627,1.0,54,18,1162,0,0
42.5231761387,0.00172901175635,1.0,54,11,200,0,0
42.5060435133,0.0378705991937,0.953125,50,8,1157,7,0
42.5291985501,0.00547089566322,0.984375,54,11,350,0,0
42.5120772947,0.0957614257677,0.875,39,7,153,3,0
42.4949698189,0.100851444289,0.890625,18,5,27,3,0
42.4778761062,0.0397608244263,0.953125,35,5,468,6,0
42.5010052272,0.00411371524227,1.0,54,13,799,0,0
42.5241157556,0.00379904754771,1.0,54,15,623,0,0
42.5472077139,0.00487180655261,1.0,54,15,491,0,0
42.5702811245,0.00358399516513,1.0,54,18,314,0,0
42.5933360096,0.00179815679754,1.0,54,6,147,0,0
42.6163723917,0.00115573293692,1.0,54,16,515,0,0
42.5992779783,0.0702637971284,0.90625,47,6,121,6,0
42.6222935044,0.000872243185124,1.0,54,12,520,0,0
42.6452905812,0.00545327457271,1.0,54,17,1182,0,0
42.6682692308,0.0236523388594,0.96875,54,8,138,0,0
42.6511814177,0.0269888676325,0.96875,45,9,207,7,0
42.6741393114,0.00665160969466,0.984375,54,14,226,0,0
42.6970788315,0.00217516174959,1.0,54,12,192,0,0
42.72,0.000464703799308,1.0,54,14,260,0,0
42.7429028389,0.00591207369795,1.0,54,12,372,0,0
42.7657873701,0.0202524581064,0.984375,54,12,115,0,0
42.7886536157,0.00978972964342,0.984375,54,15,684,0,0
