count,cleared,cor_digs,inc_digs,cor_flags,inc_flags
37000,10,1,2,0,1
37001,21,2,2,0,0
37002,29,4,3,0,1
37003,33,3,5,0,2
37004,42,3,4,1,1
37005,21,1,11,0,0
37006,23,3,5,0,0
37007,17,1,3,0,0
37008,66,5,7,1,2
37009,14,1,6,0,0
37010,14,5,2,1,0
37011,26,3,3,2,0
37012,38,3,7,0,0
37013,22,4,5,0,0
37014,33,2,7,1,0
37015,31,4,7,0,0
37016,38,1,11,0,0
37017,43,2,22,1,0
37018,15,1,5,0,0
37019,16,4,8,2,1
37020,86,5,53,5,0
37021,10,2,2,3,0
37022,33,4,10,2,2
37023,23,5,1,1,1
37024,27,4,11,1,0
37025,13,5,3,0,0
37026,72,4,9,0,0
37027,41,6,14,4,0
37028,16,1,3,0,1
37029,51,3,20,2,0
37030,71,4,17,1,2
37031,20,6,8,1,0
37032,66,2,3,0,0
37033,18,2,4,1,1
37034,24,5,2,0,0
37035,69,5,17,2,1
37036,92,2,8,1,0
37037,85,3,24,3,1
37038,27,9,4,1,0
37039,78,4,5,1,1
37040,26,1,5,1,0
37041,18,1,4,1,0
37042,40,1,3,0,0
37043,37,8,6,1,0
37044,43,1,2,0,0
37045,39,5,13,1,2
37046,30,1,9,0,0
37047,58,4,10,3,1
37048,9,1,3,0,0
37049,102,6,7,1,0
37050,48,2,5,1,0
37051,33,1,3,0,0
37052,42,1,4,0,0
37053,55,2,7,2,1
37054,15,1,7,1,0
37055,42,11,11,2,6
37056,40,3,3,0,0
37057,19,5,4,1,3
37058,45,1,4,1,0
37059,41,2,4,0,0
37060,25,1,4,0,1
37061,38,2,3,0,0
37062,36,4,5,1,0
37063,34,1,3,0,0
37064,41,1,10,0,0
37065,29,6,9,1,0
37066,69,6,14,1,0
37067,17,1,6,0,0
37068,12,1,3,0,0
37069,19,2,6,0,0
37070,51,5,23,1,2
37071,18,1,3,0,0
37072,49,2,2,1,0
37073,52,2,2,0,0
37074,13,1,5,0,1
37075,23,1,6,0,0
37076,25,1,12,0,1
37077,56,5,28,2,0
37078,60,6,8,3,0
37079,71,6,3,0,0
37080,25,3,10,0,0
37081,52,8,23,4,0
37082,29,7,4,1,0
37083,25,2,5,0,0
37084,46,4,5,1,1
37085,91,1,5,1,0
37086,62,1,2,0,1
37087,44,4,14,2,0
37088,43,5,5,2,0
37089,9,1,2,0,0
37090,23,1,3,0,0
37091,48,1,3,0,0
37092,28,1,5,0,0
37093,35,2,19,2,0
37094,48,2,8,2,1
37095,94,5,24,1,0
37096,34,1,3,0,0
37097,9,1,2,0,0
37098,14,3,6,0,0
37099,30,1,2,0,0
37100,26,2,8,1,0
37101,82,6,18,4,2
37102,16,5,3,0,0
37103,19,2,11,0,0
37104,56,9,13,5,2
37105,37,1,10,1,0
37106,7,2,4,0,0
37107,11,3,4,1,0
37108,18,3,3,0,0
37109,16,1,2,0,0
37110,63,7,11,0,0
37111,65,9,14,1,0
